Volume of exports of major arms by the top suppliers  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:07:33 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Supplier,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,Israel,,,,,8,30,,2,,23,,,,,5,34,46,45,55,48,21,27,35,18,43,109,80,201,222,188,241,196,261,364,202,202,333,130,63,190,73,157,354,416,337,206,335,271,227,177,407,467,532,418,599,521,451,613,389,819,695,590,482,414,408,573,1258,1215,1142,385,356,687,1034,1272,1163,2623,25491,1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,Switzerland,,,,,,,,,,49,435,493,534,351,394,484,367,261,88,106,18,42,34,54,89,484,592,339,223,488,566,559,413,331,529,347,340,319,375,318,475,508,457,232,176,144,204,131,198,227,140,219,178,207,293,274,320,325,506,260,285,349,257,213,352,491,220,175,244,222,145,107,181,63,11,129,18937,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,Spain,,,,,,,,,,,2,8,10,10,12,33,26,12,12,10,70,140,18,18,82,272,46,25,38,18,10,135,263,367,244,92,197,152,136,167,116,103,70,103,253,88,112,605,174,46,47,8,18,99,54,113,898,628,626,984,273,997,266,450,962,982,481,820,705,318,1005,676,1014,912,606,341,18577,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,Sweden,27,46,64,165,21,104,95,111,280,15,38,46,44,13,22,32,56,55,60,36,158,547,163,15,75,69,101,75,55,261,157,127,120,118,227,215,320,230,512,401,224,155,147,103,111,226,344,99,332,383,355,892,164,516,297,536,384,332,461,389,612,658,436,383,340,178,248,75,135,121,263,236,83,373,405,235,16506,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,Ukraine,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,84,240,169,223,573,709,1107,1424,555,327,313,196,299,533,640,397,444,519,569,1497,688,632,303,463,377,310,162,114,201,102,29,29,120,14522,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,Canada,38,55,268,76,210,190,297,336,544,119,66,300,188,245,273,121,112,73,198,183,198,290,323,118,90,59,259,138,177,163,116,105,237,97,77,83,240,250,124,33,79,93,147,152,165,248,168,97,39,80,69,124,177,302,289,234,254,334,252,198,196,277,258,170,189,298,96,63,108,223,123,144,147,276,237,312,13687,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,South Korea,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,105,105,130,65,,126,28,73,,54,48,72,118,,62,7,30,24,25,32,,36,230,,96,74,109,158,278,110,224,177,328,203,350,218,92,435,700,1054,675,829,536,231,675,1102,2020,12186,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,Poland,,,,,,,,,,,0,,7,111,237,234,319,309,288,323,268,278,276,158,249,316,425,400,336,247,226,365,230,134,91,131,265,222,232,20,112,62,57,,133,179,57,23,1,65,47,81,56,83,47,18,282,163,73,75,28,8,31,147,33,2,5,8,11,10,0,3,707,576,145,59,10084,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,Turkiye,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,3,3,0,3,46,21,5,28,45,30,26,68,88,123,78,79,95,149,146,166,244,258,184,257,286,275,526,628,698,411,539,5544,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,Norway,2,30,,8,,,,,,8,38,,37,55,139,65,80,164,77,40,,4,29,10,,6,6,6,87,135,121,238,49,35,,42,29,54,34,127,85,166,78,37,39,15,4,10,3,3,2,31,78,91,59,6,14,3,8,31,,62,52,97,87,117,85,98,71,27,60,102,120,327,569,415,4804,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
