Volume of imports of major arms by all recipients  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:08:14 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,,Hungary,56,52,13,832,729,222,1,59,259,336,604,580,295,376,747,667,150,287,271,449,24,239,123,394,554,495,378,394,660,485,388,147,183,176,307,229,80,77,42,68,15,22,,928,2,1,156,99,88,152,14,14,,,72,13,253,196,5,4,18,8,,2,7,,14,5,27,16,55,20,40,246,581,402,15898,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,Afghanistan,,,,,,4,4,100,225,275,39,55,64,40,56,91,198,230,145,166,120,25,,,47,137,230,75,156,449,632,553,455,269,394,158,210,489,927,1820,1612,1236,,,,,,,,,,,34,,,33,3,40,148,326,365,632,518,253,323,131,170,235,312,379,231,65,,,,,15885,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,,Kuwait,,,,0,5,1,,,2,,44,4,10,5,56,23,11,,104,126,59,109,30,4,5,77,230,485,504,223,35,13,173,251,454,619,167,50,6,132,324,515,896,694,36,646,1209,482,46,198,226,67,22,42,2,12,5,288,5,8,87,116,31,73,701,317,147,113,96,55,67,1565,1569,497,388,311,15872,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,Thailand,62,91,45,25,70,49,10,88,15,10,28,52,113,111,84,87,58,140,88,121,258,243,147,321,114,90,154,111,192,326,318,350,81,247,360,185,162,539,623,284,235,575,429,182,608,530,741,910,62,160,77,109,152,131,138,115,99,8,16,63,60,252,278,383,107,184,346,317,636,293,141,151,271,290,73,33,15603,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,5,4,67,31,18,44,2967,4294,5341,2264,15057,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,,Morocco,,,,,,,28,14,10,13,22,37,93,16,16,82,159,149,93,41,80,1,,21,198,207,216,408,419,725,469,800,529,396,74,50,31,32,117,126,137,62,17,98,117,28,89,220,,60,127,11,155,12,14,101,47,27,46,39,347,1289,1052,62,572,47,287,605,462,48,16,53,507,501,130,392,13442,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,,Sweden,242,298,330,410,289,400,541,253,164,253,227,165,177,335,400,324,299,318,189,172,137,160,196,231,256,292,214,114,229,233,291,495,153,106,108,84,118,125,152,127,94,55,60,46,307,106,98,196,294,224,196,165,74,66,47,78,121,51,52,15,,185,202,58,48,24,70,32,7,7,3,110,318,98,56,146,13311,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,Venezuela,59,,25,195,135,64,400,275,120,9,64,32,32,34,6,,69,205,20,8,15,130,165,395,252,230,170,216,59,14,361,908,698,241,234,517,92,73,105,120,189,318,72,37,1,5,37,39,8,85,108,106,44,15,9,21,380,770,741,366,211,600,692,1006,186,138,95,,14,,79,,,98,,,13215,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,Peru,2,24,85,17,111,35,175,117,30,175,191,96,14,24,18,52,65,26,188,96,35,157,198,476,561,555,373,933,748,641,676,857,271,320,361,215,250,611,241,11,104,108,130,43,175,47,121,373,52,95,18,10,16,22,47,368,193,172,,43,46,71,5,15,153,211,168,28,103,0,28,62,38,22,1,90,13205,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,,Denmark,44,132,397,616,286,175,234,125,111,203,142,335,61,137,491,455,66,72,77,19,212,384,156,,39,89,389,391,360,55,480,477,470,231,70,88,16,99,98,187,131,156,72,51,88,134,75,77,120,74,50,148,39,48,232,117,86,133,98,134,22,6,103,34,176,42,103,53,54,55,63,264,214,280,440,278,12720,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,Argentina,85,445,38,4,5,0,39,13,69,161,111,205,47,29,19,7,93,143,430,230,257,363,402,248,450,268,499,204,434,451,445,833,406,1309,724,485,219,217,71,6,159,,27,,209,43,21,105,171,276,208,6,15,11,161,3,9,24,21,15,11,16,5,13,6,18,17,47,19,51,7,77,50,22,45,108,12456,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,South Africa,37,73,181,51,47,105,253,207,169,68,13,,232,520,302,386,496,299,217,211,511,309,291,369,177,235,419,500,389,125,192,122,44,192,100,25,191,20,17,11,10,26,361,238,239,38,38,11,,21,6,18,,,,262,741,910,493,134,178,208,127,1,50,2,,,,,,,30,30,,30,12308,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,Chile,1,247,32,10,42,5,66,32,50,20,308,38,19,123,38,49,74,150,62,13,77,185,51,278,272,196,387,72,192,147,150,147,339,135,513,28,173,155,84,133,132,102,179,84,81,330,163,280,80,206,230,60,75,188,64,446,1097,659,395,329,474,326,61,55,135,135,70,49,74,16,304,66,207,9,14,14,12281,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,,Switzerland,147,144,303,157,130,218,301,211,229,289,218,37,4,52,263,228,373,177,199,166,142,153,192,123,64,136,142,4,217,226,272,289,175,442,404,341,108,151,179,318,433,469,381,98,114,93,187,375,428,499,15,60,58,117,203,168,83,108,15,36,38,24,2,,5,10,70,,,,,,15,33,,,12061,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,Cuba,,8,12,13,20,3,35,11,23,10,153,524,1337,288,252,135,232,163,155,155,155,162,452,420,408,200,316,609,503,410,349,960,960,778,426,352,281,75,167,94,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,11940,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,,Jordan,0,,7,0,6,13,30,15,44,4,53,26,66,39,33,56,95,126,48,173,147,90,87,56,132,372,383,457,576,256,359,401,1061,634,629,292,206,133,243,74,16,24,,1,5,19,75,77,248,63,139,160,132,281,168,79,50,180,157,230,87,211,185,72,194,228,243,363,170,213,148,67,50,22,34,,11814,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,Malaysia,,,,,,,,,13,18,5,2,31,75,97,10,58,128,91,79,25,192,109,229,74,85,394,146,72,310,127,56,25,275,543,405,141,5,14,37,,33,13,13,308,828,32,553,39,721,26,26,154,190,68,57,184,498,493,1284,213,4,19,82,75,118,270,197,93,68,51,133,71,11,7,,10802,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,,Portugal,9,21,120,286,373,165,90,153,109,62,35,157,28,41,46,39,244,286,371,339,371,267,17,17,118,327,64,94,130,7,36,57,192,12,109,154,3,9,90,149,74,1012,19,350,453,20,9,2,16,3,2,18,,29,70,158,220,60,145,371,891,170,42,11,3,1,21,8,19,44,45,6,,67,61,90,9701,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,Finland,,,18,,,11,15,3,25,41,60,52,48,252,103,81,42,76,23,21,15,4,26,13,172,129,74,12,105,47,328,118,132,112,127,203,98,66,141,86,88,65,442,406,234,195,552,397,560,768,472,7,15,242,67,93,132,149,134,37,41,60,87,254,182,268,122,47,82,86,96,20,12,37,105,51,9479,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,,Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,233,192,134,133,116,116,264,344,589,501,536,710,1193,971,152,140,,,123,113,1,44,7,150,360,149,157,148,48,8,38,7,35,29,20,,,,31,2,49,156,113,274,170,51,,46,15,16,84,8768,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,,Ethiopia,2,19,,6,8,1,1,16,19,6,24,4,21,27,4,14,99,31,34,24,90,54,53,5,36,58,113,1133,965,113,330,328,516,403,228,268,348,239,155,47,2,80,,,,,,69,208,152,114,,20,174,239,,,,,,58,76,193,154,33,10,55,51,14,76,25,16,45,2,48,63,7817,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,,South Vietnam,,,,0,45,87,121,28,20,20,43,111,165,132,85,131,199,261,308,590,656,978,2551,629,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7511,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,,Myanmar,4,0,0,16,39,47,30,53,61,29,6,17,14,28,18,19,3,14,6,22,4,28,4,,,53,10,9,25,19,40,,38,,,,9,,,34,278,239,31,331,97,224,115,231,156,141,16,153,156,100,192,179,206,153,80,65,62,668,398,252,112,258,284,210,203,206,217,67,229,132,222,70,7431,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,10,2,76,44,39,70,62,45,1,55,72,128,109,9,124,4,1,242,302,199,79,113,49,61,123,7,26,1,184,200,274,37,8,32,10,221,82,12,,36,120,199,648,207,638,455,334,161,713,70,60,331,74,70,32,7259,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,,Oman,,,,,,,,,,1,1,,,1,1,1,2,7,5,36,26,62,11,71,67,181,150,250,81,43,12,72,170,347,120,88,49,40,19,117,60,,,55,145,278,285,157,22,,121,32,40,37,49,178,297,12,72,95,31,21,127,492,719,152,422,757,282,88,85,4,4,4,,,7152,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,,NATO**,,,,,,,,26,26,26,26,22,5,,,,,7,14,14,14,,,,,,,,,,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,21,70,465,240,240,,120,120,6690,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,,Colombia,3,8,15,12,36,3,43,15,292,1,5,66,6,32,9,18,32,15,32,121,8,40,171,163,5,291,10,8,12,36,12,28,18,300,660,7,6,4,37,218,13,72,36,68,42,35,49,193,160,44,68,268,173,145,18,18,54,237,110,263,259,145,200,173,170,193,18,91,16,22,80,45,50,3,12,22,6362,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,,Nigeria,,,,,,,,,,5,,1,8,9,2,56,159,47,50,39,14,12,113,7,24,424,104,90,142,108,474,331,642,41,359,569,211,115,62,15,18,4,59,41,95,2,15,1,,,36,9,6,66,11,,16,62,33,65,223,63,28,30,236,188,61,42,49,18,84,273,53,93,93,21,6323,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,,Mexico,,7,,12,,,,,16,2,20,30,109,60,38,12,22,15,,,82,48,15,158,61,104,69,39,74,68,75,115,343,116,,8,137,154,103,63,32,40,19,160,136,55,92,495,19,136,215,149,97,20,321,40,78,,23,59,109,225,260,52,89,324,328,215,16,,277,3,,4,46,9,6316,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,,Philippines,,2,1,32,22,28,39,42,37,68,50,44,11,4,2,99,86,43,16,26,9,90,50,106,60,133,256,198,143,92,75,39,17,116,38,23,,26,12,19,33,34,43,62,72,30,43,72,64,,,10,5,10,34,12,23,16,10,1,3,63,21,83,12,153,228,278,17,191,385,365,280,108,305,846,6064,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,63,168,213,34,147,163,569,397,398,642,351,287,290,375,44,51,,9,3,75,463,4912,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,,New Zealand,41,70,147,12,,35,147,90,58,,119,111,8,5,,10,406,4,56,,168,133,23,23,10,51,7,34,,,,31,62,100,41,8,29,5,61,26,23,42,54,36,16,7,7,309,15,305,,45,17,154,95,,6,81,3,56,78,28,30,26,84,89,,,6,3,146,36,171,406,200,,4703,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,,Sudan,,,,,,,,2,5,4,6,17,34,17,36,5,10,6,13,177,598,87,69,23,3,5,,29,208,46,3,203,90,25,106,66,10,122,77,16,4,46,6,,,3,27,63,,36,,106,50,205,294,113,112,58,120,100,196,191,119,155,70,136,110,66,35,20,,,3,6,50,57,4672,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,Ecuador,,,,10,14,124,6,,13,,66,,,3,3,29,9,21,5,1,5,85,41,15,22,42,226,582,224,110,289,122,291,360,322,23,30,26,26,20,3,136,4,18,17,39,29,103,31,27,9,41,1,,,39,47,2,102,77,90,70,89,12,56,27,26,20,5,3,21,16,9,7,19,30,4388,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,,Bahrain,,,,,,,,,,,,,,,,,,,,,,0,7,0,1,,,2,12,10,22,40,55,10,129,55,133,249,135,66,362,68,51,1,8,71,51,197,8,,299,28,52,1,10,66,63,27,21,,98,4,24,69,1,17,30,27,72,21,27,184,259,294,850,30,4317,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,121,139,22,,49,44,46,83,38,53,59,63,96,143,83,446,255,221,279,232,270,195,191,223,460,18,4066,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,,Austria,,,,2,,16,108,149,11,24,16,27,56,201,74,78,61,48,1,12,99,123,93,38,32,12,12,,8,72,177,73,97,145,13,28,19,7,117,84,5,6,5,8,52,30,9,190,247,48,25,15,81,41,56,26,5,269,190,286,5,6,6,5,2,1,13,10,6,18,14,34,5,17,13,29,3907,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,South Yemen,,,,,,,,,,,,,,,,,,29,13,58,17,50,112,86,71,14,,8,55,1078,1218,496,41,99,71,52,74,89,12,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3792,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,368,1147,2,,,,,,90,,8,25,10,121,185,207,113,127,94,62,5,1,6,39,95,315,129,3188,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,,Albania,20,10,21,35,37,98,74,54,59,141,69,74,42,12,8,140,74,163,265,297,250,332,134,106,137,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,1,1,5,12,1,,1,38,23,2876,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,98,120,158,142,333,13,69,215,178,399,466,2714,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,,Tunisia,,,,,,,,11,,13,44,6,,7,4,40,,5,17,23,49,0,4,26,14,14,10,73,14,122,103,56,60,103,119,314,,56,17,48,4,20,32,,35,56,68,41,18,12,,,44,1,,168,2,,3,,7,7,,40,50,7,43,98,181,15,16,19,35,35,78,7,2513,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,,Sri Lanka,0,,0,17,,8,1,2,20,31,4,,,,0,,,,,2,,33,47,,,1,0,17,7,,18,,,,48,42,28,111,19,6,19,168,22,37,77,63,196,59,83,62,294,154,43,34,38,63,96,91,79,21,5,21,,22,5,,,45,100,59,,54,3,5,9,11,2501,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,113,,,4,167,,,1,52,158,70,585,58,253,316,38,66,41,5,261,47,38,23,6,33,7,6,9,,,,1,,,,2436,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,,Mongolia,,5,28,5,3,10,9,12,12,,10,66,90,86,120,137,116,63,15,22,15,13,8,58,76,195,31,30,47,29,60,72,156,118,114,98,27,36,27,,,,,,,,,,,,,,,,,,,,15,,64,3,78,,,73,,,,17,,25,3,,,,2294,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,,North Yemen,0,,4,,,1,,40,8,,,23,,1,,,1,,,,,,,,9,9,0,13,14,744,705,154,45,9,104,108,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,,DR Congo,,,,,,,,,,,2,9,13,32,64,23,27,16,7,28,19,165,15,5,9,445,134,28,38,15,10,12,15,5,16,1,1,36,1,,4,,2,,,0,61,6,10,46,89,11,18,,,26,24,,18,37,156,,15,1,,3,43,,1,,9,,,27,40,44,1882,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,,Kenya,,,,,,,,,,,,,,,6,15,19,2,2,3,0,26,9,2,28,25,17,58,211,56,119,144,85,17,12,6,26,178,,47,43,14,,,30,,,61,,,15,,,,,,,11,,34,96,35,68,1,17,30,32,17,7,18,71,4,1,,19,117,1851,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,,Lebanon,0,,1,8,3,17,,40,71,11,,5,13,18,,34,72,80,1,,,10,52,55,41,11,4,8,2,19,37,9,36,93,206,71,,,,,,,40,40,18,42,27,9,8,4,4,,,,,1,,5,1,52,64,1,31,27,6,48,28,48,53,56,45,43,30,14,9,,1781,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,38,32,237,112,69,72,169,433,108,,,,382,,,,,1697,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,,Cyprus,,,,,,,,,,,,,,,18,22,,,,,,,,9,,,,,,,,,5,19,24,34,41,33,123,28,82,94,26,10,37,34,171,98,7,113,4,180,66,6,16,18,22,16,,,44,41,6,,,,,30,,20,31,12,,8,120,28,1694,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,,unknown recipient(s),,,,,,,,,,10,10,18,38,67,76,76,58,58,58,58,18,10,10,5,5,,,,,,30,85,86,87,87,87,87,87,87,41,,11,11,19,5,9,3,,4,,,,,0,,,,,12,,8,6,,32,33,13,32,15,21,48,36,3,6,3,,,1664,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,Tanzania,,,,,,,,,,,,,,,4,4,22,1,,,11,60,51,121,185,48,,47,67,260,53,121,9,,,,1,,,5,,,18,,5,,4,,,,2,,1,51,,10,12,1,,29,,78,115,130,14,20,20,2,17,,9,53,,,,4,1662,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,Cambodia,,,,,4,19,36,10,4,2,1,2,5,11,41,43,37,20,15,18,8,22,104,114,25,,,,43,,34,,,13,67,69,136,50,10,124,48,,,3,74,1,27,22,,,,,,,,,14,56,,4,34,,78,68,,,,,5,1,,35,38,56,,,1649,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,,Uganda,,,,,,,,,,,,,,,3,1,16,4,27,16,3,3,20,17,46,123,34,7,,,,,14,,,10,,32,1,20,,,,,,32,,,55,39,6,,33,,36,10,5,0,14,28,37,468,213,20,2,7,1,22,10,23,79,8,66,16,,2,1627,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,Somalia,,,,,,,,,,,11,2,0,11,,31,53,72,4,1,,,24,165,283,128,185,29,57,90,101,97,61,23,15,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,,8,2,2,,4,4,2,1545,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,9,0,1,13,57,42,94,6,600,46,10,25,26,50,112,44,18,,,7,,7,1,8,32,69,148,58,19,1540,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,28,34,152,494,111,52,60,64,59,94,73,6,,,,,,,,,,,,,2,,,,1,,,,,,,,0,0,9,16,5,46,,3,22,1,19,5,3,1,14,1376,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
