Volume of imports of major arms by all recipients  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:08:14 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,Poland,195,590,804,1037,1980,1060,710,1105,1093,1031,889,864,685,1020,1572,1162,1004,781,927,992,859,1009,958,1110,1060,887,1102,1023,1186,1187,1119,804,709,536,466,925,1389,1036,903,501,226,76,100,4,74,250,101,,,23,146,31,253,347,223,105,442,969,633,193,174,141,227,146,275,127,45,126,50,213,153,68,414,1391,1542,2169,49727,2.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,Israel,53,97,73,68,2,120,754,132,141,222,164,88,279,368,415,447,460,229,926,1365,1189,1413,963,2182,1032,1184,2004,1227,1224,709,1253,1663,866,475,270,295,1178,1080,582,24,81,1210,1335,716,767,372,105,67,1302,1277,389,116,350,189,846,1103,1125,840,680,162,76,86,137,160,549,694,652,565,491,516,379,458,833,863,237,537,47478,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,Iran,20,6,0,1,20,35,29,54,93,75,141,75,83,105,139,496,601,553,917,950,899,2099,1375,2051,2855,5229,4653,5482,3724,526,278,487,499,466,562,639,805,807,469,194,444,990,406,960,451,289,608,172,374,321,417,526,435,283,117,53,418,325,57,92,87,89,39,14,14,11,413,3,3,3,2,,,21,42,,46968,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,Australia,464,367,399,151,125,637,463,460,549,422,116,155,460,369,539,920,707,770,557,702,230,310,63,713,898,108,91,278,1029,197,409,449,134,637,635,510,815,594,745,695,356,219,364,448,262,64,597,35,542,678,326,1215,638,765,447,458,721,618,430,805,1558,1582,787,220,848,1445,1012,1664,1553,1159,1632,1218,809,376,1077,826,46623,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,Pakistan,170,169,145,95,95,152,187,537,336,313,46,41,84,225,96,222,592,151,415,542,422,553,664,177,225,223,276,271,655,697,900,491,544,784,863,751,280,617,412,974,635,511,352,992,862,368,506,691,699,867,175,412,566,645,471,427,324,693,1072,1195,2232,1178,1024,1112,877,771,872,870,893,654,624,984,1529,2199,1068,706,45446,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,Taiwan,,98,304,383,308,622,252,380,718,921,472,108,146,320,347,494,326,477,293,588,588,352,245,329,372,344,484,792,779,522,513,778,788,723,433,647,960,585,646,352,465,651,475,1157,858,1318,1405,4746,3967,1736,592,342,291,112,316,695,503,13,11,36,71,173,411,614,1082,535,93,487,92,55,111,158,162,205,367,398,43487,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,Greece,97,500,306,84,152,203,88,348,410,290,261,148,340,106,639,497,212,373,107,292,305,581,689,246,428,912,1288,980,1281,734,660,951,462,403,366,189,202,36,561,1248,907,487,2146,892,1227,874,380,807,1717,837,731,793,402,2164,1098,406,719,1665,482,1216,630,70,19,28,204,728,302,51,39,93,92,231,441,404,631,574,42459,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,Syria,109,1,20,18,9,108,148,473,122,37,38,27,35,89,65,100,525,905,829,875,870,735,1517,3282,3410,1411,527,931,871,2045,1867,1349,1989,2241,1817,1581,1267,1451,1310,663,739,315,277,166,14,25,25,25,45,48,49,23,40,64,20,30,95,15,326,253,420,485,532,498,7,16,18,52,199,104,80,7,,,,2,40681,1.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,United Kingdom,101,246,535,1610,537,322,141,93,554,543,26,34,38,159,133,166,242,1444,2348,2701,70,176,222,239,319,337,251,262,191,232,557,812,766,292,682,355,273,207,285,209,130,953,1147,796,421,496,568,513,770,132,937,1287,721,770,212,31,375,817,575,381,461,347,566,509,217,424,288,1002,463,402,635,886,859,469,486,609,39362,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,United Arab Emirates,,,,,,,,,,,,,,,,,,,13,12,67,24,28,88,100,145,275,310,230,39,213,420,155,163,310,145,132,195,45,663,561,237,205,582,571,426,481,690,757,441,244,186,223,676,1145,2072,1925,819,730,604,650,1217,1139,2324,736,1691,1491,909,1165,750,660,577,756,918,1086,868,34285,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
